TUC;Tucumono;Tucumono;Tucumono;Tucumono;Tucumono;x
TUC_adj;Tucumono;Tucumono;Tucumono;Tucumono;Tucumono;x
TUC_fascist_dictatorship;Justicialist State of Cuyo;Estado Justicialista de Cuyo;Estado Justicialista de Cuyo;Estado Justicialista de Cuyo;Estado Justicialista de Cuyo;x
TUC_proletarian_dictatorship;Tucumona Commune;Comuna Tucumona;Comuna Tucumona;Comuna Tucumona;Comuna Tucumona;x
TUC_presidential_dictatorship;State of Cuyo;Estado de Cuyo;Estado de Cuyo;Estado de Cuyo;Estado de Cuyo;x
TUC_bourgeois_dictatorship;United States of Cuyo;Estados Unidos de Cuyo;Estados Unidos de Cuyo;Estados Unidos de Cuyo;Estados Unidos de Cuyo;x
TUC_democracy;Republic of Tucumona;República Tucumona;República Tucumona;República Tucumona;República Tucumona;x
TUC_absolute_monarchy;Grand Duchy of Tucumona;Gran Ducado Tucumono;Gran Ducado Tucumono;Gran Ducado Tucumono;Gran Ducado Tucumono;x
TUC_prussian_constitutionalism;Grand Duchy of Tucumona;Gran Ducado Tucumono;Gran Ducado Tucumono;Gran Ducado Tucumono;Gran Ducado Tucumono;x
TUC_hms_government;Grand Duchy of Tucumono;Gran Ducado Tucumono;Gran Ducado Tucumono;Gran Ducado Tucumono;Gran Ducado Tucumono;x
TUC_theocracy;Sacred State of Tucumono;Sacro Estado Tucumono;Sacro Estado Tucumono;Sacro Estado Tucumono;Sacro Estado Tucumono;x
TUC_agrarist;Agrarian Commune Tucumona;Comuna Agrarista Tucumona;Comuna Agrarista Tucumona;Comuna Agrarista Tucumona;Comuna Agrarista Tucumona;x
TUC_nationalsyndicalist_dictatorship;Tucumona Union Nation;Nación Sindical Tucumona;Nación Sindical Tucumona;Nación Sindical Tucumona;Nación Sindical Tucumona;x
